iter	RMSE
0	14.94285685
1	14.5541105
2	14.15113987
3	13.78482452
4	13.41949842
5	13.1199908
6	12.81157598
7	12.52995659
8	12.24376969
9	11.95253534
10	11.65415314
11	11.41280599
12	11.19116636
13	10.95326375
14	10.71119724
15	10.47308714
16	10.25322791
17	10.04536435
18	9.831940237
19	9.645964534
20	9.475284842
21	9.299014632
22	9.126075354
23	8.96677957
24	8.797808701
25	8.658957186
26	8.517973965
27	8.374836092
28	8.246073741
29	8.12175443
30	8.01588151
31	7.907166231
32	7.794213963
33	7.686475332
34	7.577274199
35	7.489432826
36	7.395110227
37	7.305916272
38	7.208876228
39	7.119482283
40	7.045450553
41	6.963434375
42	6.890042054
43	6.824307582
44	6.756472676
45	6.689298109
46	6.618464904
47	6.561555029
48	6.500389222
49	6.445325195
50	6.396334003
51	6.34022717
52	6.295487288
53	6.242371564
54	6.194422522
55	6.150321253
56	6.107924071
57	6.073165841
58	6.039441835
59	6.007376421
60	5.973631153
61	5.940845906
62	5.91257359
63	5.879965566
64	5.853662173
65	5.829106151
66	5.804728158
67	5.777391281
68	5.755328149
69	5.728500063
70	5.704020096
71	5.682749393
72	5.660137368
73	5.636836584
74	5.617159589
75	5.59383414
76	5.574989457
77	5.557799068
78	5.540015328
79	5.523262839
80	5.513246791
81	5.495033922
82	5.479656484
83	5.464166196
84	5.451828681
85	5.433334416
86	5.419563066
87	5.407171221
88	5.393276966
89	5.378471869
90	5.369105851
91	5.358135651
92	5.345291318
93	5.335352174
94	5.328298096
95	5.320904247
96	5.309877101
97	5.301783198
98	5.292145908
99	5.284500691
100	5.277538454
101	5.264839886
102	5.254291409
103	5.243414148
104	5.234794234
105	5.22765084
106	5.217917026
107	5.210580711
108	5.202959992
109	5.191832957
110	5.187139457
111	5.179426119
112	5.170683315
113	5.166115894
114	5.161391602
115	5.154931203
116	5.147608246
117	5.14244483
118	5.140232502
119	5.129452505
120	5.123366446
121	5.119072329
122	5.112271103
123	5.106049088
124	5.101698921
125	5.093020767
126	5.089479449
127	5.085164128
128	5.080138504
129	5.072199178
130	5.066721398
131	5.061124153
132	5.054508473
133	5.046881562
134	5.041958457
135	5.038625285
136	5.033562071
137	5.029936325
138	5.022234639
139	5.019592131
140	5.013801188
141	5.008869715
142	5.002512343
143	4.996626405
144	4.992615908
145	4.989039025
146	4.98333288
147	4.975007062
148	4.967989661
149	4.964991756
150	4.962064986
151	4.957049868
152	4.951871047
153	4.946891705
154	4.946023037
155	4.942453379
156	4.938682588
157	4.935303445
158	4.930230288
159	4.928364679
160	4.925403787
161	4.921678012
