iter	Passed	Remaining
0	1	1160
1	1	709
2	1	559
3	1	484
4	2	470
5	2	447
6	2	420
7	3	400
8	3	386
9	3	372
10	4	362
11	4	357
12	4	352
13	4	347
14	5	349
15	5	345
16	5	341
17	6	337
18	6	334
19	6	331
20	7	328
21	7	325
22	7	321
23	7	319
24	8	318
25	8	315
26	8	314
27	8	312
28	9	310
29	9	309
30	9	308
31	10	306
32	10	305
33	10	303
34	10	302
35	11	301
36	11	301
37	11	300
38	12	300
39	12	298
40	12	297
41	13	296
42	13	296
43	13	295
44	13	295
45	14	294
46	14	292
47	14	291
48	14	290
49	15	289
50	15	289
51	15	288
52	16	287
53	16	286
54	16	285
55	16	284
56	17	284
57	17	283
58	17	282
59	17	281
60	18	280
61	18	279
62	18	278
63	18	277
64	19	277
65	19	276
66	19	276
67	20	275
68	20	274
69	20	274
70	20	273
71	21	273
72	21	272
73	21	271
74	22	271
75	22	270
76	22	270
77	22	269
78	23	268
79	23	268
80	23	266
81	23	265
82	23	264
83	24	264
84	24	263
85	24	263
86	25	263
87	25	262
88	25	262
89	25	262
90	26	260
91	26	260
92	26	259
93	26	259
94	27	259
95	27	259
96	27	259
97	28	258
98	28	258
99	28	258
100	28	257
101	29	257
102	29	256
103	29	256
104	30	256
105	30	255
106	30	255
107	30	255
108	31	254
109	31	254
110	31	252
111	31	252
112	32	251
113	32	251
114	32	250
115	32	250
116	33	250
117	33	249
118	33	248
119	33	248
120	34	247
121	34	247
122	34	247
123	34	247
124	35	247
125	35	247
126	36	247
127	36	247
128	36	247
129	36	247
130	37	247
131	37	247
132	37	246
133	38	246
134	38	245
135	38	245
136	38	245
137	39	244
138	39	244
139	39	243
140	39	243
141	40	242
142	40	242
143	40	241
144	40	241
145	41	241
146	41	241
147	41	240
148	42	240
149	42	240
150	42	239
151	42	239
152	43	238
153	43	238
154	43	237
155	43	236
156	44	236
157	44	236
158	44	235
159	44	235
160	45	235
161	45	234
162	45	234
163	45	234
164	46	233
165	46	233
166	46	233
167	47	232
168	47	232
169	47	232
170	47	231
171	48	231
172	48	230
173	48	230
174	48	230
175	49	229
176	49	228
177	49	228
178	49	228
179	49	227
180	50	227
181	50	226
182	50	226
183	51	226
184	51	226
185	51	226
186	51	225
187	52	225
188	52	225
189	52	224
190	53	224
191	53	224
192	53	223
193	53	223
194	54	223
195	54	223
196	54	222
197	54	222
198	55	222
199	55	221
200	55	221
201	55	221
202	56	220
203	56	220
204	56	220
205	57	220
206	57	219
207	57	219
208	57	219
209	58	218
210	58	218
211	58	218
212	59	218
213	59	217
214	59	217
215	59	217
216	60	216
217	60	216
218	60	216
219	60	215
220	61	215
221	61	215
222	61	214
223	61	214
224	62	214
225	62	213
226	62	213
227	62	213
228	63	212
229	63	212
230	63	212
231	64	211
232	64	211
233	64	211
234	64	211
235	65	210
236	65	210
237	65	209
238	65	209
239	66	210
240	66	210
241	67	209
242	67	209
243	67	209
244	67	209
245	68	208
246	68	208
247	68	208
248	68	207
249	69	207
250	69	207
251	69	207
252	70	206
253	70	206
254	70	206
255	70	205
256	71	205
257	71	205
258	71	205
259	71	204
260	72	204
261	72	204
262	73	205
263	73	204
264	73	204
265	73	204
266	74	203
267	74	203
268	74	203
269	75	203
270	75	203
271	75	202
272	76	202
273	76	202
274	76	201
275	76	201
276	77	201
277	77	200
278	77	200
279	77	200
280	78	199
281	78	199
282	78	199
283	78	199
284	79	198
285	79	198
286	79	198
287	80	197
288	80	197
289	80	197
290	80	196
291	81	196
292	81	196
293	81	196
294	81	195
295	82	195
296	82	195
297	82	195
298	83	195
299	83	195
300	83	194
301	84	194
302	84	194
303	84	194
304	85	193
305	85	193
306	85	193
307	85	193
308	86	192
309	86	192
310	86	192
311	87	192
312	87	191
313	87	191
314	87	191
315	88	190
316	88	190
317	88	190
318	89	190
319	89	189
320	89	189
321	89	189
322	90	188
323	90	188
324	90	188
325	90	188
326	91	187
327	91	187
328	91	187
329	91	186
330	92	186
331	92	186
332	92	185
333	93	185
334	93	185
335	93	184
336	93	184
337	94	184
338	94	184
339	94	183
340	94	183
341	95	183
342	95	182
343	95	182
344	96	182
345	96	182
346	96	181
347	96	181
348	97	181
349	97	180
350	97	180
351	97	180
352	98	180
353	98	179
354	98	179
355	99	179
356	99	179
357	99	178
358	99	178
359	100	178
360	100	177
361	100	177
362	101	177
363	101	176
364	101	176
365	101	176
366	102	176
367	102	175
368	102	175
369	102	175
370	103	174
371	103	174
372	103	174
373	103	174
374	104	173
375	104	173
376	104	173
377	105	172
378	105	172
379	105	172
380	105	171
381	106	171
382	106	171
383	106	171
384	107	170
385	107	170
386	107	170
387	107	170
388	108	169
389	108	169
390	108	169
391	108	168
392	109	168
393	109	168
394	109	167
395	109	167
396	110	167
397	110	167
398	110	166
399	110	166
400	111	166
401	111	165
402	111	165
403	112	165
404	112	164
405	112	164
406	112	164
407	113	164
408	113	163
409	113	163
410	113	163
411	114	163
412	114	162
413	114	162
414	115	162
415	115	161
416	115	161
417	115	161
418	116	161
419	116	160
420	116	160
421	116	160
422	117	159
423	117	159
424	117	159
425	118	159
426	118	158
427	118	158
428	118	158
429	119	157
430	119	157
431	119	157
432	119	156
433	120	156
434	120	156
435	120	156
436	120	155
437	121	155
438	121	155
439	121	155
440	122	154
441	122	154
442	122	154
443	122	153
444	123	153
445	123	153
446	123	153
447	123	152
448	124	152
449	124	152
450	124	151
451	125	151
452	125	151
453	125	151
454	125	150
455	126	150
456	126	150
457	126	149
458	126	149
459	127	149
460	127	149
461	127	148
462	127	148
463	128	148
464	128	147
465	128	147
466	129	147
467	129	147
468	129	146
469	129	146
470	130	146
471	130	146
472	130	145
473	131	145
474	131	145
475	131	144
476	131	144
477	132	144
478	132	144
479	132	143
480	132	143
481	133	143
482	133	142
483	133	142
484	134	142
485	134	141
486	134	141
487	134	141
488	135	141
489	135	140
490	135	140
491	135	140
492	136	139
493	136	139
494	136	139
495	136	139
496	137	138
497	137	138
498	137	138
499	138	138
500	138	137
501	138	137
502	138	137
503	139	136
504	139	136
505	139	136
506	139	136
507	140	135
508	140	135
509	140	135
510	141	134
511	141	134
512	141	134
513	141	134
514	142	133
515	142	133
516	142	133
517	142	132
518	143	132
519	143	132
520	143	132
521	143	131
522	144	131
523	144	131
524	144	130
525	145	130
526	145	130
527	145	130
528	145	129
529	146	129
530	146	129
531	146	129
532	147	128
533	147	128
534	147	128
535	147	127
536	148	127
537	148	127
538	148	127
539	148	126
540	149	126
541	149	126
542	149	126
543	150	125
544	150	125
545	150	125
546	150	124
547	151	124
548	151	124
549	151	124
550	151	123
551	152	123
552	152	123
553	152	122
554	152	122
555	153	122
556	153	122
557	153	121
558	154	121
559	154	121
560	154	121
561	154	120
562	155	120
563	155	120
564	155	119
565	155	119
566	156	119
567	156	119
568	156	118
569	157	118
570	157	118
571	157	117
572	157	117
573	158	117
574	158	117
575	158	116
576	158	116
577	159	116
578	159	115
579	159	115
580	160	115
581	160	115
582	160	114
583	160	114
584	161	114
585	161	114
586	161	113
587	162	113
588	162	113
589	162	112
590	162	112
591	163	112
592	163	112
593	163	111
594	163	111
595	164	111
596	164	111
597	164	110
598	165	110
599	165	110
600	165	109
601	165	109
602	166	109
603	166	109
604	166	108
605	166	108
606	167	108
607	167	107
608	167	107
609	167	107
610	168	107
611	168	106
612	168	106
613	169	106
614	169	106
615	169	105
616	169	105
617	170	105
618	170	104
619	170	104
620	170	104
621	171	104
622	171	103
623	171	103
624	172	103
625	172	102
626	172	102
627	172	102
628	173	102
629	173	101
630	173	101
631	173	101
632	174	101
633	174	100
634	174	100
635	175	100
636	175	99
637	175	99
638	175	99
639	176	99
640	176	98
641	176	98
642	177	98
643	177	98
644	177	97
645	177	97
646	178	97
647	178	96
648	178	96
649	179	96
650	179	96
651	179	95
652	179	95
653	180	95
654	180	95
655	180	94
656	180	94
657	181	94
658	181	93
659	181	93
660	182	93
661	182	93
